,YEAR,base_monetaria_m0,base_monetaria_m1,base_monetaria_m3,cambio,divida_externa,exportacao,importacao,inflacao,pib,pib_industria,pib_nominal_brl,salario
82,1982,0.706909090909091,1.68872727272727,2.079936,9.14218181818182e-11,148210628549.7118,42596691510.25062,40949682241.41207,99.7207177756377,408822908852.9759,167508928674.43207,17.70207927272727,1065.45678457147
83,1983,1.27090909090909,3.33709090909091,6.60145454545455,3.56e-10,164686702580.0964,44350346308.07242,31246557171.20985,210.99173235644,226280370091.9934,89412272324.5096,39.77684872727273,1027.54859403777
84,1984,4.62727272727273,10.072,22.730909090909098,1.152e-09,177762816384.6769,52700536658.665565,27156530648.088516,223.811782846714,214297571833.90607,89305536089.97491,126.50400545454548,893.90130279352
85,1985,16.5338181818182,40.7185454545454,79.1407272727273,3.79636363636364e-09,180756538628.34946,48347213893.760254,24803399898.172768,235.106026637404,236202228567.09756,102533741559.8234,475.53404218181817,824.79326960968
86,1986,65.0527272727273,165.627636363636,119.942181818182,5.40727272727273e-09,187802672375.60904,41245760741.17821,25919651557.655396,65.0327956210456,434722712869.2775,181584936222.19818,1273.6839276363637,852.13306735606
87,1987,183.102181818182,376.698181818182,803.732727272727,2.61418181818182e-08,192487691343.65768,46950004475.87503,26946248321.546864,415.834796557845,276533388079.0107,117739088698.8928,4037.8057352727274,847.389171740944
88,1988,1322.60072727273,2525.09090909091,9458.54909090909,2.76905454545455e-07,176703194458.80286,58219382657.91378,25164985009.82115,1037.55880473364,182786132700.7431,76659382417.26534,29375.63025418182,784.641530617847
89,1989,24522.1818181818,37476.363636363596,117248.363636364,4.10909090909091e-06,163912368751.2382,56763223453.08062,30151609222.082806,1782.89485261769,170993330190.53165,71661661602.74979,425595.31039345457,761.510966142338
90,1990,589553.090909091,912817.090909091,861454.545454546,6.13054545454545e-05,152687763913.27036,49680941373.693275,32676000757.53981,1476.70901328345,297925370554.3529,99125381891.19179,11548794.545454547,737.673057751665
91,1991,2306243.27272727,3931476.72727273,5963272.72727273,0.000388618181818182,142315402861.7339,48389990730.73686,32199052401.867016,480.226254041065,237400148407.22406,75415488211.74673,60285999.272727266,584.348183659588
92,1992,25167358.181818202,38027272.727272704,92000000.0,0.00450436363636364,165210845618.37613,53353087549.00353,30637964212.14244,1157.83654223969,212108599937.12018,72397472901.62836,640958767.6363636,760.44717273919
93,1993,516729080.36363596,847780000.0,3092000000.0,0.11858,166191570435.44025,56073139193.9847,36731727111.027084,2708.16938929662,172900215964.1756,64490260273.33849,14097114181.818182,775.319039724234
94,1994,17684551000.0,22772664000.0,44944635000.0,0.844,170484236319.86096,62036331560.12708,47125340321.6845,1093.89353906977,589445699241.0162,208787087909.2128,349204679000.0,717.374246857728
95,1995,21681591000.0,28492903000.0,63635326000.0,0.9715,180425834716.97058,64888564412.38437,69724013896.83414,14.7794083391568,1013942286678.0728,237074514103.9803,705991552860.918,462.17470837244
96,1996,19795697000.0,29807483000.0,72024082000.0,1.0386,196836238456.91495,65224204961.477516,72872750122.9441,9.33702419898204,1124249991280.2441,251158736001.55786,854763607812.398,541.158785481035
97,1997,31828332000.0,47362722000.0,97061967790.0,1.1156,225247724160.15466,71154354305.96954,80221309648.4868,7.48093756728463,1145885240668.8774,258903002738.85687,952089196088.811,559.041494406835
98,1998,39184378000.0,50707266000.0,107421587260.0,1.2079,293526042360.4636,68122901292.12736,76880729985.34702,1.70345041964564,1105407582239.6655,244502785954.3219,1002351019213.48,573.832665122151
99,1999,48430157000.0,62744441000.0,110731862000.0,1.7882,266973898429.7043,63036926894.59587,64610988130.87548,19.9794880154315,798633398929.4485,173676499208.6865,1087710456053.99,607.773671147039
100,2000,47686213000.0,74352468000.0,111743640000.0,1.9546,251221667306.9535,70541163448.58496,71434680496.86258,9.80656337214898,785595910338.0703,180739055059.39035,1199092070940.21,586.629342276504
101,2001,53255971000.0,85319761000.0,,2.3196,241940343476.95087,73092601938.33484,69765210404.74039,10.3969686033923,712104268906.6791,161217044727.75897,1315755467830.93,617.724666061393
102,2002,73302272000.0,110334243000.0,,3.5325,242357066739.3621,74795897251.61707,58536948278.85306,26.4106623329924,522235239684.8475,117478529164.29877,1488787255158.3699,670.840532387635
103,2003,73219136000.0,112765870000.0,,2.8884,242854610376.23492,88696497593.38821,58606053544.98897,7.67292716445258,721832801267.7399,166626568797.54678,1717950396424.49,640.747453342256
104,2004,88732677000.0,129659697000.0,,2.6536,219535070994.63544,114248947031.72554,74410783162.60674,12.1357158051478,873692060461.3516,212365037856.02643,1957751212962.5698,707.895621815194
105,2005,101247235000.0,146745131000.0,,2.3399,176975229062.1115,136180748553.11018,84724790342.5572,1.22447855632692,1067774595822.3619,258108650007.86414,2170584503422.1401,724.442064335687
106,2006,121102001000.0,176889613000.0,,2.1372,174718434428.24835,154281665805.73654,102271378613.33153,3.79312950564481,1262159673281.9707,297163146978.6745,2409449922072.06,797.241121437685
107,2007,146616867000.0,235075119000.0,,1.7705,180764948588.64365,175354283002.59784,131658312321.26093,7.89233045220512,1677077405576.965,387830529789.7418,2720262937838.3203,903.674997284715
108,2008,147549705000.0,227166817000.0,,2.3362,180355155049.03256,209851516468.59262,183521537770.47443,9.09618473082581,1411224336206.0935,325785283534.7405,3109803089046.29,931.17836285372
109,2009,166072835000.0,254714119000.0,,1.7404,,162653082328.67685,135766767238.62984,-1.42954340215495,2035997115365.4329,445447514810.58075,3333039355422.42,955.523587662609
110,2010,206853322000.0,287739157000.0,,1.6654,,210884189932.84384,189842425807.5971,11.3000022589965,2436923865954.4326,567022893282.63,3885847000000.0,1125.17578950063
111,2011,214235311000.0,292168445000.0,,1.8751,,260812442465.1115,230464251605.3784,4.99721487415066,2377453318614.763,549240477301.195,4376382000000.0,1118.35103762362
112,2012,233371452000.0,333485628000.0,,2.0429,,242578013546.0,223183476643.0,8.09667816472144,2356826080571.7363,521651573743.2082,4814760000000.0,1219.53649345441
113,2013,249509778000.0,354650948000.0,,2.342,,238800219744.65738,236432790103.992,5.51836640617704,2246111560655.741,476732910010.75165,5331619000000.0,1246.67187837567
114,2014,263528517000.0,363361535000.0,,2.6556,,218784574174.5799,222604429626.67783,3.78359344400589,2115076102081.8645,433008167035.8699,5778953000000.0,1264.73614700844
115,2015,255288922000.0,347220589000.0,,3.9042,,,,10.7010989768647,1489320204188.4236,288333046497.36017,5995787000000.0,1284.9762136795
116,2016,270287146000.0,363028546000.0,,3.2585,,,,7.18259119397897,1847363387552.8074,339079084285.3917,6269328000000.0,1289.20116878287
117,2017,296755456000.0,383839562000.0,,3.3074,,,,-0.418532887020584,1877472540578.6501,341484136401.4838,6585479000000.0,1301.93960532336
118,2018,302049461000.0,410226239000.0,,3.8742,,,,7.09935597207676,1669076415145.9797,312935995882.12915,7004141000000.0,1301.17384440066
119,2019,316586707000.0,447721783000.0,,4.0301,,,,7.69593631621659,1667821099746.1008,312793635856.8478,7389131000000.0,1314.29343669172
120,2020,431536653000.0,641107547000.0,,5.1961,,,,23.0832315965071,1317632282389.4324,257018912978.58255,7609597000000.0,1311.82124980999
121,2021,409183519000.0,653420212000.0,,5.5799,,,,17.7376193072177,1379319160068.1233,277935557850.84125,8898727463567.389,1316.03962354852
122,2022,419659918000.0,645798347000.0,,5.2171,,,,5.0286222460677,1546904032376.6597,320172362980.3786,9915316432886.129,1311.06906637376
123,2023,,,,,,,,,,,,1332.32846370788
